Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2014-115889,11/2/2014,11/6/2014,Standard Class,SH-20395,Shahid Hopkins,Consumer,United States,San Francisco,California,94122,WEST,TEC-PH-10001615,Technology,Phones,AT&T CL82213,$46.38 ,2,0.2,5.2182
US-2014-102715,4/11/2014,4/13/2014,Second Class,JK-15370,Jay Kimmel,Consumer,United States,Miami,Florida,33180,South,OFF-PA-10000029,Office Supplies,Paper,Xerox 224,$10.37 ,2,0.2,3.6288
CA-2015-130974,11/27/2015,11/29/2015,Second Class,MA-17560,Matt Abelman,Home Office,United States,Everett,Massachusetts,2149,EAST,FUR-FU-10002506,Furniture,Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",$38.97 ,3,0,4.6764
CA-2014-102645,1/23/2014,1/28/2014,Standard Class,IM-15055,Ionia McGrath,Consumer,United States,Las Vegas,Nevada,89115,WEST,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,$40.08 ,6,0,19.2384
CA-2016-139409,9/5/2016,9/7/2016,First Class,FW-14395,Fred Wasserman,Corporate,United States,New York City,New York,10011,EAST,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",$43.60 ,4,0,12.208
CA-2015-111514,8/31/2015,9/2/2015,First Class,SC-20260,Scott Cohen,Corporate,United States,San Francisco,California,94122,WEST,TEC-AC-10004864,Technology,Accessories,Memorex Micro Travel Drive 32 GB,$36.51 ,1,0,15.6993
CA-2017-140480,7/8/2017,7/12/2017,Standard Class,HE-14800,Harold Engle,Corporate,United States,Newark,Delaware,19711,EAST,FUR-FU-10001057,Furniture,Furnishings,Tensor Track Tree Floor Lamp,$39.98 ,2,0,9.1954
CA-2016-161543,5/10/2016,5/16/2016,Standard Class,RD-19720,Roger Demir,Consumer,United States,Seattle,Washington,98105,WEST,OFF-PA-10003971,Office Supplies,Paper,Xerox 1965,$11.96 ,2,0,$5.86 
CA-2016-152730,5/30/2016,6/4/2016,Standard Class,EM-14140,Eugene Moren,Home Office,United States,Superior,Wisconsin,54880,Central,OFF-AR-10003732,Office Supplies,Art,Newell 333,$5.56 ,2,0,1.4456
CA-2015-105627,3/8/2015,3/12/2015,Standard Class,DK-12895,Dana Kaydos,Consumer,United States,Kenosha,Wisconsin,53142,Central,FUR-FU-10000308,Furniture,Furnishings,Deflect-o Glass Clear Studded Chair Mats,$373.08 ,6,0,82.0776
CA-2016-164511,11/19/2016,11/24/2016,standard class,DJ-13630,Doug Jacobs,?Consumer?,United States,New York City,New York,10024,EAST,OFF-BI-10003305,Office Supplies,Binders,Avery Hanging File Binders,$14.35 ,3,0.2,4.6644
CA-2017-135860,12/1/2017,12/7/2017,Standard Class,JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601,Central,OFF-FA-10000134,Office Supplies,Fasteners,"Advantus Push Pins, Aluminum Head",$52.29 ,9,0,16.2099
CA-2017-141789,10/3/2017,10/6/2017,First Class,AC-10450,Amy Cox,Consumer,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10001359,Office Supplies,Binders,GBC DocuBind TL300 Electric Binding System,"$1,793.98 ",2,0,$843.17 
US-2016-110156,11/19/2016,11/24/2016,Standard Class,EH-13945,Eric Hoffmann,Consumer,United States,Houston,Texas,77041,Central,OFF-ST-10000642,Office Supplies,Storage,"Tennsco Lockers, Gray",$100.70 ,6,0.2,($16.36)
